country,address
australia,https://www.fifa.com/worldcup/teams/team/43976/
belgium,https://www.fifa.com/worldcup/teams/team/43935/
brazil,https://www.fifa.com/worldcup/teams/team/43924/
columbia,https://www.fifa.com/worldcup/teams/team/43926/
costa rica,https://www.fifa.com/worldcup/teams/team/43901/
croatia,https://www.fifa.com/worldcup/teams/team/43938/
denmark,https://www.fifa.com/worldcup/teams/team/43941/
egypt,https://www.fifa.com/worldcup/teams/team/43855/
england,https://www.fifa.com/worldcup/teams/team/43942/
france,https://www.fifa.com/worldcup/teams/team/43946/
germany,https://www.fifa.com/worldcup/teams/team/43948/
iceland,https://www.fifa.com/worldcup/teams/team/43951/
ir iran,https://www.fifa.com/worldcup/teams/team/43817/
japan,https://www.fifa.com/worldcup/teams/team/43819/
korea republic,https://www.fifa.com/worldcup/teams/team/43822/
mexico,https://www.fifa.com/worldcup/teams/team/43911/
morocco,https://www.fifa.com/worldcup/teams/team/43872/
nigeria,https://www.fifa.com/worldcup/teams/team/43876/
panama,https://www.fifa.com/worldcup/teams/team/43914/
peru,https://www.fifa.com/worldcup/teams/team/43929/
poland,https://www.fifa.com/worldcup/teams/team/43962/
portugal,https://www.fifa.com/worldcup/teams/team/43963/
russia,https://www.fifa.com/worldcup/teams/team/43965/
saudi arabia,https://www.fifa.com/worldcup/teams/team/43835/
senegal,https://www.fifa.com/worldcup/teams/team/43879/
serbia,https://www.fifa.com/worldcup/teams/team/1902465/
spain,https://www.fifa.com/worldcup/teams/team/43969/
sweden,https://www.fifa.com/worldcup/teams/team/43970/
switzerland,https://www.fifa.com/worldcup/teams/team/43971/
tunisia,https://www.fifa.com/worldcup/teams/team/43888/
uruguay,https://www.fifa.com/worldcup/teams/team/43930/


